-8.750e+01  8.376e-02 
-8.250e+01  5.138e-01 
-7.750e+01  6.804e-01 
-7.250e+01  7.058e-01 
-6.750e+01  6.596e-01 
-6.250e+01  7.560e-01 
-5.750e+01  6.747e-01 
-5.250e+01  6.823e-01 
-4.750e+01  6.947e-01 
-4.250e+01  6.770e-01 
-3.750e+01  7.877e-01 
-3.250e+01  7.713e-01 
-2.750e+01  7.736e-01 
-2.250e+01  8.858e-01 
-1.750e+01  9.178e-01 
-1.250e+01  9.622e-01 
-7.500e+00  1.208e+00 
-2.500e+00  1.589e+00 
 2.500e+00  1.600e+00 
 7.500e+00  1.407e+00 
 1.250e+01  1.047e+00 
 1.750e+01  9.170e-01 
 2.250e+01  1.168e+00 
 2.750e+01  1.299e+00 
 3.250e+01  1.655e+00 
 3.750e+01  1.597e+00 
 4.250e+01  1.473e+00 
 4.750e+01  1.483e+00 
 5.250e+01  1.417e+00 
 5.750e+01  1.287e+00 
 6.250e+01  1.264e+00 
 6.750e+01  1.056e+00 
 7.250e+01  1.103e+00 
 7.750e+01  9.368e-01 
 8.250e+01  8.652e-01 
 8.750e+01  4.021e-01 
